;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41003063;MONTEIRO LOBATO E M EF;Urbana;Paraná;QUERENCIA DO NORTE
41003110;BRASILEIRINHO E EI EF;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003128;ANIBAL I LIUTTI E M EI EF;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003160;CONSTANTINO MAROCHI C E S EF M;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003187;FLAVIO L BOTTER E M EI EF;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003195;IVAINA C E DE EF M;Rural;Paraná;SANTA CRUZ DE MONTE CASTELO
41003276;SANTA ESMERALDA E E EF;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003292;SANTOS DUMONT C E EF M;Urbana;Paraná;SANTA CRUZ DE MONTE CASTELO
41003330;ALBERICO M DA SILVA C E EF M PROFIS;Urbana;Paraná;SANTA ISABEL DO IVAI
41003373;BORBOLETA AZUL C M E I;Urbana;Paraná;SANTA ISABEL DO IVAI
41003420;FERNANDO DE AZEVEDO C E EF M;Urbana;Paraná;SANTA ISABEL DO IVAI
41003438;FLORINDA M BRUNO E PROFA EI EF MOD ESP;Urbana;Paraná;SANTA ISABEL DO IVAI
41003454;JOSE DIAS DELGADO E M PROF EI EF;Urbana;Paraná;SANTA ISABEL DO IVAI
41003489;MENINO JESUS C M E I;Urbana;Paraná;SANTA ISABEL DO IVAI
41003497;NARCIZO MENDES C E C E F M;Urbana;Paraná;SANTA ISABEL DO IVAI
41003551;SAGRADO CORACAO JESUS C EI EF M;Urbana;Paraná;SANTA ISABEL DO IVAI
41003616;SANTA MONICA C E EF M PROFIS;Urbana;Paraná;SANTA MONICA
41003624;XIX DE NOVEMBRO E R M EI EF;Rural;Paraná;SANTA MONICA
41003632;CAXIAS C E DQ DE EF M;Urbana;Paraná;SANTO ANTONIO DO CAIUA
41003659;MACHADO DE ASSIS E M EI EF;Urbana;Paraná;SANTO ANTONIO DO CAIUA
41003683;DELEZIA KOPKO E M PROFA EI EF;Urbana;Paraná;SAO CARLOS DO IVAI
41003713;SAO CARLOS DO IVAI C E EF M;Urbana;Paraná;SAO CARLOS DO IVAI
41003721;SAO CARLOS DO IVAI E EI EF MOD ED ESP;Urbana;Paraná;SAO CARLOS DO IVAI
41003730;ALDA AGUIAR SILVEIRA C M E I;Urbana;Paraná;SAO JOAO DO CAIUA
41003748;CARLOS GOMES C E EF M;Urbana;Paraná;SAO JOAO DO CAIUA
41003756;MARIA CERNAKI E M EF;Urbana;Paraná;SAO JOAO DO CAIUA
41003764;CANDIDO B FORTES C M E I;Urbana;Paraná;SAO PEDRO DO PARANA
41003772;CANDIDO RONDON E M MAL EF;Urbana;Paraná;SAO PEDRO DO PARANA
41003799;CECILIA MEIRELES C E EF M;Urbana;Paraná;SAO PEDRO DO PARANA
41003802;ELVIRA P CRESPILHO E EI EF MOD ED ESP;Urbana;Paraná;SAO PEDRO DO PARANA
41003829;JOSE DE ANCHIETA E E PE EF;Urbana;Paraná;SAO PEDRO DO PARANA
41003837;JOSE MARQUES DE MACEDO E M EF;Urbana;Paraná;SAO PEDRO DO PARANA
